district_id,state,district_name,latitude,longitude,date,new_student_cases,cumulative_student_cases,new_staff_cases,cumulative_staff_cases
0200001,AK,Lower Kuskokwim School District,60.2133219,-163.4349829,,,,,
0200003,AK,Lower Yukon School District,62.2835878,-163.1901714,,,,,
0200004,AK,Yupiit School District,60.8956284,-161.4186234,,,,,
0200005,AK,Kashunamiut School District,61.5295597,-165.5941259,,,,,
0200007,AK,Aleutians East Borough School District,55.2450437,-161.9974772,,,,,
0200010,AK,Aleutian Region School District,51.9489640,+179.6211882,,,,,
0200020,AK,Bering Strait School District,64.7836858,-164.1889119,,,,,
0200030,AK,Bristol Bay Borough School District,58.7416473,-156.9669094,,,,,
0200050,AK,Alaska Gateway School District,63.6472192,-142.8271144,,,,,
0200060,AK,Cordova City School District,60.5301380,-145.6420649,,,,,
0200070,AK,Copper River School District,61.7953012,-144.1340370,,,,,
0200090,AK,Craig City School District,55.4887459,-133.1115680,,,,,
0200100,AK,Delta/Greely School District,63.8254742,-145.6983167,,,,,
0200120,AK,Dillingham City School District,59.0604666,-158.5322510,,,,,
0200130,AK,Galena City School District,64.7414218,-156.8733943,,,,,
0200150,AK,Ketchikan Gateway Borough School District,55.4499378,-131.1066847,,,,,
0200180,AK,Anchorage School District,61.1742503,-149.2843294,,,,,
0200210,AK,Juneau Borough School District,58.3729099,-134.1784454,,,,,
0200240,AK,Sitka School District,57.1932044,-135.3673965,,,,,
0200270,AK,Haines Borough School District,59.0984037,-135.5757906,,,,,
0200300,AK,Hoonah City School District,58.1220084,-135.4314281,,,,,
0200330,AK,Hydaburg City School District,55.2058418,-132.8204379,,,,,
0200360,AK,Kake City School District,56.9753204,-133.9036632,,,,,
0200390,AK,Kenai Peninsula Borough School District,59.9836715,-151.7230237,,,,,
0200450,AK,Klawock City School District,55.5564254,-133.0861303,,,,,
0200480,AK,Kodiak Island Borough School District,57.7044003,-153.9183721,,,,,
0200485,AK,Lake and Peninsula Borough School District,58.1085067,-156.4134134,,,,,
0200510,AK,Matanuska-Susitna Borough School District,62.2790939,-149.6190939,,,,,
0200520,AK,Iditarod Area School District,62.7045483,-156.1552690,,,,,
0200525,AK,Annette Island School District,55.1383523,-131.4704246,,,,,
0200540,AK,Nenana City School District,64.5360539,-149.0836286,,,,,
0200570,AK,Nome School District,64.5057413,-165.4152873,,,,,
0200600,AK,Fairbanks North Star Borough School District,64.6760436,-146.5481586,,,,,
0200610,AK,North Slope Borough School District,69.4493427,-153.4728302,,,,,
0200625,AK,Northwest Arctic Borough School District,67.0050655,-160.0210864,,,,,
0200630,AK,Pelican City School District,57.9592291,-136.2150664,,,,,
0200660,AK,Petersburg Borough School District,57.1124581,-133.0085979,,,,,
0200670,AK,Pribilof School District,57.0495083,-170.4062251,,,,,
0200680,AK,St. Marys City School District,62.0627750,-163.2442565,,,,,
0200690,AK,Skagway School District,59.5603794,-135.3382787,,,,,
0200700,AK,Southeast Island School District,55.7292480,-133.2241939,,,,,
0200710,AK,Southwest Region School District,59.5433255,-158.2671226,,,,,
0200715,AK,Tanana City School District,65.1840040,-152.0551023,,,,,
0200720,AK,Unalaska City School District,53.9100980,-166.5284187,,,,,
0200730,AK,Chatham School District,58.2534617,-136.3207314,,,,,
0200760,AK,Kuspuk School District,61.5235521,-158.0360918,,,,,
0200770,AK,Denali Borough School District,63.6820386,-150.0270164,,,,,
0200775,AK,Yukon Flats School District,66.7196853,-145.2587692,,,,,
0200780,AK,Valdez City School District,61.0836208,-146.3171790,,,,,
0200800,AK,Chugach School District,60.4884737,-146.2030924,,,,,
0200810,AK,Wrangell School District,56.3174160,-132.3439780,,,,,
0200840,AK,Yakutat School District,60.0174528,-140.4169420,,,,,
0200862,AK,Yukon-Koyukuk School District,65.6344779,-154.3251960,,,,,
0100001,AL,Fort Rucker School District,31.4097368,-085.7458071,,,,,
0100003,AL,Maxwell AFB School District,32.3809438,-086.3637490,,,,,
0100005,AL,Albertville City School District,34.2631303,-086.2106600,,,,,
0100006,AL,Marshall County School District,34.3821918,-086.3050590,,,,,
0100007,AL,Hoover City School District,33.3769487,-086.8055789,,,,,
0100008,AL,Madison City School District,34.7105329,-086.7622802,,,,,
0100011,AL,Leeds City School District,33.5468470,-086.5714476,,,,,
0100012,AL,Boaz City School District,34.1990204,-086.1551515,,,,,
0100013,AL,Trussville City School District,33.6552331,-086.5632401,,,,,
0100030,AL,Alexander City City School District,32.8690219,-085.9510825,,,,,
0100060,AL,Andalusia City School District,31.3094363,-086.4780311,,,,,
0100090,AL,Anniston City School District,33.6734345,-085.8109372,,,,,
0100100,AL,Arab City School District,34.3323868,-086.5011665,,,,,
0100120,AL,Athens City School District,34.7790209,-086.9507986,,,,,
0100180,AL,Attalla City School District,33.9861893,-086.1210365,,,,,
